,Provincia,Depto,Población,Cantidad de hogares,Hogares con agua corriente de red (%),Hogares con cloacas (%),Hogares con gas de red (%),Hogares con acceso a internet (%),Población con vivienda propia (%),Población inquilina (%),Escolaridad de menores de entre 3-17 años (%),Población sin cobertura de salud (%),Latitud,Longitud
174,CHACO,GENERAL BELGRANO,12807,3936,13.9,2.7,1.4,55.6,83.7,3.1,83.5,68.8,-26.84953,-61.07197
175,CHACO,GENERAL DONOVAN,15096,4896,88.7,8.7,0.5,64.5,82.6,5.4,91.9,46.2,-27.14093,-59.34749
176,CHACO,GENERAL GÜEMES,68525,22505,69.7,7.4,1.1,42.5,82.6,6.0,85.9,68.9,-25.21379,-61.33758
177,CHACO,INDEPENDENCIA,21996,6683,26.2,4.0,0.9,44.5,82.0,5.7,82.7,69.2,-26.737,-60.75702
178,CHACO,LIBERTAD,13807,4396,85.7,52.7,1.3,56.4,80.3,4.2,90.2,40.9,-27.35115,-59.26063
179,CHACO,LIBERTADOR GENERAL SAN MARTÍN,65686,21302,87.9,23.5,1.4,53.3,79.6,6.4,87.0,60.0,-26.37852,-59.48788
180,CHACO,MAIPÚ,26416,8447,38.4,15.0,0.6,39.9,80.9,5.0,86.1,66.1,-26.32103,-60.45535
181,CHACO,MAYOR LUIS J. FONTANA,59965,20246,76.2,29.5,1.1,60.2,75.9,9.1,89.6,58.1,-27.74368,-60.65815
182,CHACO,9 DE JULIO,30258,9897,6.7,2.8,0.9,54.0,79.6,8.2,87.3,61.7,-26.94554,-61.26526
183,CHACO,O'HIGGINS,21579,6653,78.6,4.3,0.9,52.9,78.8,7.6,88.3,70.2,-27.25755,-60.68068
184,CHACO,PRESIDENCIA DE LA PLAZA,13956,4415,90.6,40.9,0.4,59.0,78.3,6.3,89.7,62.1,-27.04682,-59.77517
185,CHACO,1° DE MAYO,14279,4842,84.9,5.2,0.6,57.1,80.0,6.1,92.3,46.4,-27.16917,-58.95951
186,CHACO,QUITILIPI,32642,10421,78.2,33.1,1.5,44.8,77.5,5.9,86.6,63.4,-26.66851,-60.1735
187,CHACO,SAN FERNANDO,416140,142251,97.2,55.7,2.0,76.4,75.6,10.4,92.9,38.7,-27.71601,-59.11575
188,CHACO,SAN LORENZO,16062,5383,68.7,3.9,2.3,48.9,82.9,4.2,85.9,64.9,-27.39505,-60.36462
189,CHACO,SARGENTO CABRAL,18793,6288,79.7,10.3,0.9,47.4,82.3,5.2,92.0,57.6,-26.80169,-59.51965
190,CHACO,TAPENAGÁ,4059,1360,62.1,27.4,0.2,40.4,73.3,5.8,89.3,46.4,-27.65988,-59.82887
191,CHACO,25 DE MAYO,32793,9989,80.1,30.8,1.7,46.0,82.9,5.0,87.9,69.3,-26.81903,-60.01877
192,CÓRDOBA,CALAMUCHITA,75911,28298,86.6,13.4,22.2,68.6,62.1,22.0,94.4,42.3,-32.20271,-64.61672
193,CÓRDOBA,CAPITAL,1505250,553470,98.3,55.7,66.2,82.5,57.4,28.0,95.0,32.5,-31.41707,-64.18322
